group,seed,survived,avg_pop,avg_energy,eat,refresh,divide
abundant_scarce,300,true,21.39,25.55,0.293082,0.040168,0.117181
always_scarce,300,true,32.25,31.52,0.245173,0.303142,0.089496
abundant_scarce,301,true,3.00,96.68,0.267449,0.230559,0.000000
always_scarce,301,true,29.35,23.82,0.345480,0.026906,0.096742
abundant_scarce,302,true,22.93,24.87,0.245884,0.053228,0.105733
always_scarce,302,true,28.46,24.71,0.366873,0.009155,0.095885
abundant_scarce,303,true,32.03,24.64,0.152517,0.224488,0.096072
always_scarce,303,true,11.47,72.93,0.331906,0.130154,0.032940
abundant_scarce,304,true,24.94,20.44,0.291973,0.010596,0.142444
always_scarce,304,true,24.87,25.59,0.275157,0.071384,0.124119
abundant_scarce,305,true,29.57,23.18,0.410348,0.009522,0.100322
always_scarce,305,true,31.99,24.27,0.152410,0.225059,0.096384
abundant_scarce,306,true,28.89,24.74,0.338200,0.010053,0.096017
always_scarce,306,true,29.06,24.07,0.304849,0.011532,0.096351
abundant_scarce,307,true,26.73,26.82,0.247987,0.020903,0.092157
always_scarce,307,true,12.72,39.19,0.329280,0.063784,0.065589
abundant_scarce,308,true,29.02,23.44,0.253296,0.024729,0.101023
always_scarce,308,true,22.47,31.27,0.287168,0.021236,0.092526
abundant_scarce,309,true,31.99,24.27,0.152345,0.224539,0.096284
always_scarce,309,true,21.65,28.41,0.265547,0.024244,0.089930
