round,refresh_diff,eat_diff,pop_diff,refresh_p,refresh_d
0,0.081887,-0.038878,27.39,0.096304,0.8270
1,-0.019557,-0.024876,23.76,0.939743,-0.2079
2,-0.026146,-0.022025,35.73,0.449692,-0.2391
3,0.059843,-0.013981,17.74,0.028365,0.6243
4,0.016806,-0.066743,18.85,0.096304,0.1805
5,0.063198,-0.061350,24.92,0.041250,0.6240
6,0.039332,-0.049228,28.75,0.226476,0.4131
7,0.055903,-0.073602,20.36,0.082099,0.6200
8,0.050318,-0.051328,22.98,0.058782,0.5154
9,0.043442,-0.070718,20.86,0.150927,0.5067
10,0.052737,-0.060586,22.70,0.289919,0.5899
11,-0.022331,-0.025101,33.84,0.879829,-0.2028
12,0.082321,-0.101613,21.99,0.034294,0.9444
13,0.051917,0.021110,22.24,0.289919,0.4920
14,0.063405,-0.014632,17.61,0.058782,0.5975
15,-0.041648,0.021598,17.68,0.496292,-0.4335
16,-0.024130,-0.015623,35.31,0.762369,-0.2488
17,0.055446,-0.020991,15.74,0.256839,0.6248
18,0.013063,0.015694,32.15,0.596701,0.1387
19,0.002940,-0.045047,22.88,1.000000,0.0330
20,-0.026180,0.011815,33.93,0.879829,-0.2801
21,-0.004577,0.061136,27.69,0.820596,-0.0476
22,0.023175,-0.059046,34.60,0.545350,0.2698
23,0.066622,-0.060862,29.47,0.041250,0.6588
24,-0.039791,0.015906,36.60,1.000000,-0.3856
25,0.003837,-0.008148,32.77,0.545350,0.0421
26,0.027693,0.010822,23.49,0.939743,0.2457
27,0.031442,-0.064111,28.49,0.289919,0.3307
28,0.008161,-0.059133,22.08,0.256839,0.0789
29,0.045704,-0.045672,20.76,0.041250,0.4896
30,-0.056609,-0.040492,30.73,0.705457,-0.5960
31,0.028125,0.031679,26.99,0.256839,0.3067
32,-0.058404,0.017869,30.74,0.496292,-0.5931
33,0.071548,-0.078830,22.85,0.034294,0.7233
34,0.009742,0.015277,19.16,0.820596,0.0989
35,0.081636,-0.007235,29.50,0.028365,1.0253
36,-0.018694,-0.030615,33.94,1.000000,-0.1948
37,-0.034107,-0.023375,32.40,0.496292,-0.3572
38,-0.012565,-0.027422,39.60,0.405679,-0.1350
39,-0.073208,-0.010760,36.03,0.112411,-0.7487
40,-0.051379,-0.024168,27.48,0.650147,-0.5407
41,-0.056099,-0.006165,36.56,0.256839,-0.5935
42,0.021248,-0.070453,25.26,0.082099,0.2341
43,0.041529,-0.042596,17.78,0.150927,0.4593
44,-0.010809,-0.029371,32.28,1.000000,-0.1159
45,-0.084082,0.025743,47.31,0.226476,-1.0441
46,0.066349,-0.057947,21.53,0.082099,0.7439
47,-0.017034,-0.066388,33.55,0.820596,-0.1588
48,-0.017887,0.009666,31.05,0.879829,-0.1755
49,0.001827,0.023487,17.85,0.820596,0.0209
50,0.052211,-0.078713,30.89,0.049366,0.5609
51,0.023863,-0.039071,25.97,0.364346,0.2231
52,0.016403,-0.075045,26.72,0.198765,0.1619
53,0.019552,-0.026888,29.88,0.364346,0.1978
54,0.008130,-0.042734,26.98,0.939743,0.0839
55,0.058762,-0.026496,13.73,0.049366,0.6701
56,-0.019108,-0.030860,27.98,0.762369,-0.1918
57,0.070001,-0.066321,28.75,0.034294,0.7171
58,-0.006688,0.002889,19.80,0.650147,-0.0687
59,0.092621,-0.064989,31.20,0.015564,1.1835
60,0.092248,-0.104504,15.36,0.005159,1.1072
61,0.002063,-0.016440,31.75,0.820596,0.0195
62,0.058057,-0.037449,15.82,0.112411,0.6805
63,0.007634,-0.031705,30.10,1.000000,0.0786
64,0.033033,-0.051009,21.90,0.112411,0.3325
65,0.073391,-0.086311,20.34,0.005159,1.0136
66,-0.001574,-0.024355,25.40,0.820596,-0.0154
67,0.039462,0.015178,20.05,0.173617,0.4086
68,0.028799,-0.037663,32.36,0.596701,0.2546
69,0.051263,0.000251,22.94,0.130570,0.5183
70,0.025765,-0.032357,24.72,0.449692,0.2472
71,-0.032585,0.042876,34.79,0.705457,-0.3227
72,0.004343,-0.056500,37.57,0.545350,0.0444
73,0.021104,-0.063324,23.29,0.705457,0.2064
74,0.056756,-0.072530,20.07,0.198765,0.5801
75,0.016410,-0.055883,23.40,0.939743,0.1692
76,0.111924,-0.078904,22.19,0.002497,1.5642
77,0.051764,-0.058969,25.44,0.289919,0.5508
78,0.052086,-0.047679,21.18,0.150927,0.6541
79,0.025334,-0.013845,29.67,0.545350,0.2643
80,0.052506,-0.077543,29.48,0.449692,0.5089
81,0.013111,-0.049254,19.95,0.820596,0.1237
82,0.026808,-0.027531,11.38,0.325751,0.2485
83,-0.001874,-0.032018,28.46,0.545350,-0.0197
84,-0.009453,0.004436,27.67,0.405679,-0.0955
85,0.100420,-0.059052,26.73,0.012611,1.1434
86,0.022019,-0.050108,18.94,0.496292,0.2822
87,0.069364,-0.044402,29.36,0.041250,0.6785
88,0.035876,-0.031514,24.03,0.226476,0.3974
89,0.114088,-0.088046,21.39,0.008151,1.3079
90,0.010040,-0.083831,34.54,0.496292,0.1072
91,0.009066,0.007567,24.20,0.545350,0.0938
92,0.017680,-0.015913,21.52,0.289919,0.1689
93,0.064289,-0.054029,30.94,0.069642,0.7098
94,0.055738,-0.055210,33.44,0.041250,0.6123
95,0.052269,-0.081429,15.05,0.173617,0.6050
96,-0.027218,-0.011401,20.87,0.879829,-0.2874
97,-0.004688,0.003901,37.12,0.939743,-0.0479
98,-0.078754,-0.042019,37.06,0.130570,-0.8402
99,0.080597,-0.004827,19.74,0.034294,0.8281
